1/9/2017 | 15/40/33 | Igrac Ghost | Komanda: /garaza
1/9/2017 | 15/40/37 | Igrac Ghost | Komanda: /gulaz
1/9/2017 | 15/47/10 | Igrac Ghost | Komanda: /port
1/9/2017 | 15/47/51 | Igrac Ghost | Komanda: /presvuci
1/9/2017 | 15/47/53 | Igrac Ghost | Komanda: /udjiuorg 1
1/9/2017 | 15/47/55 | Igrac Ghost | Komanda: /presvuci
1/9/2017 | 15/48/0 | Igrac Ghost | Komanda: /presvuci
1/9/2017 | 15/48/4 | Igrac Ghost | Komanda: /presvuci
1/9/2017 | 15/48/19 | Igrac Ghost | Komanda: /oprema
1/9/2017 | 15/48/23 | Igrac Ghost | Komanda: /duznost
1/9/2017 | 15/48/28 | Igrac Ghost | Komanda: /oprema
1/9/2017 | 15/49/53 | Igrac Ghost | Komanda: /port
1/9/2017 | 15/49/56 | Igrac Ghost | Komanda: /duznost
1/9/2017 | 15/50/12 | Igrac Ghost | Komanda: /duznost
1/9/2017 | 15/50/16 | Igrac Ghost | Komanda: /status
1/9/2017 | 15/50/29 | Igrac Ghost | Komanda: /napravifirmu
1/9/2017 | 15/50/41 | Igrac Ghost | Komanda: /napravifirmu 26 1 1
1/9/2017 | 15/51/5 | Igrac Ghost | Komanda: /kupitabletu
1/9/2017 | 15/57/25 | Igrac Ghost | Komanda: /port
1/9/2017 | 15/57/30 | Igrac Ghost | Komanda: /port
1/9/2017 | 15/57/50 | Igrac Ghost | Komanda: /kupitabletu
1/9/2017 | 15/57/53 | Igrac Ghost | Komanda: /kupitabletu
1/9/2017 | 15/58/3 | Igrac Ghost | Komanda: /wean
1/9/2017 | 15/58/12 | Igrac Ghost | Komanda: /fly
1/9/2017 | 15/59/49 | Igrac Ghost | Komanda: /gotopos 985.140 -1230.856 19.803  0
1/9/2017 | 15/59/55 | Igrac Ghost | Komanda: /aduty
1/9/2017 | 15/59/58 | Igrac Ghost | Komanda: /freeze 0
1/9/2017 | 15/59/59 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/0 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/0 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/1 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/2 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/2 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/6 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/10 | Igrac Ghost | Komanda: /unfreeze 0
1/9/2017 | 16/0/19 | Igrac Ghost | Komanda: /port
1/9/2017 | 16/0/22 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/0/43 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/3/22 | Igrac Ghost | Komanda: /kill 0
1/9/2017 | 16/9/4 | Igrac Ghost | Komanda: /tod 12
1/9/2017 | 16/9/10 | Igrac Ghost | Komanda: /givegun ghost 24 30
1/9/2017 | 16/9/25 | Igrac Ghost | Komanda: /port
1/9/2017 | 16/9/28 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/9/38 | Igrac Ghost | Komanda: /fly
1/9/2017 | 16/9/47 | Igrac Ghost | Komanda: /setjob 0 24
1/9/2017 | 16/9/50 | Igrac Ghost | Komanda: /setjob 0 25
1/9/2017 | 16/9/59 | Igrac Ghost | Komanda: /setjob 0 0
1/9/2017 | 16/10/5 | Igrac Ghost | Komanda: /pduznost
1/9/2017 | 16/10/52 | Igrac Ghost | Komanda: /pravioruzije
1/9/2017 | 16/28/8 | Igrac Ghost | Komanda: /SKINILIDERA
1/9/2017 | 16/28/9 | Igrac Ghost | Komanda: /lideri
1/9/2017 | 16/28/15 | Igrac Ghost | Komanda: /skinilidera 17
1/9/2017 | 16/28/21 | Igrac Ghost | Komanda: /lideri
1/9/2017 | 16/28/27 | Igrac Ghost | Komanda: /lideri
1/9/2017 | 16/28/31 | Igrac Ghost | Komanda: /skinilidera 1
1/9/2017 | 16/28/35 | Igrac Ghost | Komanda: /lideri
1/9/2017 | 16/29/56 | Igrac Ghost | Komanda: /port
1/9/2017 | 16/29/59 | Igrac Ghost | Komanda: /fly
