[25/8/2017 - 13:6:33] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:6:38] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:6:54] Nelson | Komandu koristio: /napravifirmu 1 1 1
[25/8/2017 - 13:6:58] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:7:3] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:7:8] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:15:8] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:15:12] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:26:39] Nelson | Komandu koristio: /KUPIFIRMU
[25/8/2017 - 13:26:46] Nelson | Komandu koristio: /KUPI
[25/8/2017 - 13:26:49] Nelson | Komandu koristio: /KUPI
[25/8/2017 - 13:26:52] Nelson | Komandu koristio: /KUPI
[25/8/2017 - 13:26:55] Nelson | Komandu koristio: /KUPI
[25/8/2017 - 13:37:46] Nelson | Komandu koristio: /kupi
[25/8/2017 - 13:37:50] Nelson | Komandu koristio: /kupi
